               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.038108,            0.049562,           0.0051272,             0.78888,             0.64006,             0.69354,             0.39636,            0.042173,            0.054752,           0.0069937,            0.006436,            0.006436,            0.006436
                  38,            0.038422,            0.049736,           0.0049481,             0.78289,              0.6881,              0.7416,             0.42378,             0.04032,            0.052509,           0.0069299,            0.006337,            0.006337,            0.006337
                  39,            0.036722,            0.049336,           0.0049895,             0.78343,             0.63583,             0.69581,              0.3638,            0.043739,            0.054007,           0.0073523,            0.006238,            0.006238,            0.006238
                  40,            0.036974,            0.052494,           0.0043484,             0.79091,             0.69183,              0.7405,             0.42374,            0.041135,            0.052446,           0.0077722,            0.006139,            0.006139,            0.006139
                  41,            0.037159,            0.054112,           0.0045707,             0.75355,             0.70969,             0.72871,             0.39696,            0.042513,            0.053124,           0.0063837,             0.00604,             0.00604,             0.00604
                  42,            0.037901,            0.053807,           0.0042951,             0.79016,              0.6816,             0.72828,             0.39439,            0.041203,            0.053072,           0.0071774,            0.005941,            0.005941,            0.005941
                  43,            0.037015,            0.050433,           0.0046755,             0.75626,             0.68908,             0.71964,             0.39047,            0.044572,            0.054492,           0.0074368,            0.005842,            0.005842,            0.005842
                  44,            0.036684,            0.048851,           0.0044227,             0.75715,             0.71309,             0.73767,              0.4029,            0.041899,            0.053064,           0.0074965,            0.005743,            0.005743,            0.005743
                  45,            0.036359,            0.049638,           0.0037178,             0.80982,             0.70293,             0.75137,             0.41892,            0.041239,            0.052811,           0.0068179,            0.005644,            0.005644,            0.005644
                  46,            0.036342,             0.04859,           0.0041223,             0.79382,              0.6903,             0.75536,              0.4201,            0.040476,            0.052059,           0.0065354,            0.005545,            0.005545,            0.005545
                  47,            0.035519,            0.050022,           0.0039472,             0.74763,             0.72365,             0.74503,             0.42634,            0.040422,            0.053575,           0.0066035,            0.005446,            0.005446,            0.005446
                  48,            0.034749,            0.051738,           0.0040296,             0.84906,             0.68224,             0.75895,             0.42599,            0.040535,            0.051652,           0.0062979,            0.005347,            0.005347,            0.005347
                  49,            0.036101,            0.051199,           0.0035444,             0.80412,             0.69019,             0.73982,             0.42057,            0.041057,             0.05314,           0.0064291,            0.005248,            0.005248,            0.005248
                  50,            0.034417,            0.048943,           0.0034067,             0.82361,             0.68104,             0.75487,             0.43989,            0.040039,            0.053085,           0.0065253,            0.005149,            0.005149,            0.005149
                  51,            0.034688,            0.046292,           0.0035198,             0.85546,             0.65809,             0.75187,             0.43359,            0.040443,            0.053481,           0.0069234,             0.00505,             0.00505,             0.00505
                  52,            0.034216,            0.046393,           0.0033647,             0.77848,             0.71617,             0.74568,             0.42905,             0.03967,             0.05221,           0.0072203,            0.004951,            0.004951,            0.004951
                  53,            0.034211,             0.04789,             0.00329,             0.79881,             0.71802,             0.76791,             0.44424,            0.040856,            0.052009,           0.0065015,            0.004852,            0.004852,            0.004852
                  54,            0.034174,             0.04677,            0.003478,             0.81335,             0.70637,             0.76014,             0.43068,            0.040774,            0.050749,           0.0064828,            0.004753,            0.004753,            0.004753
                  55,            0.033524,            0.048818,           0.0030388,             0.82224,             0.67599,             0.76077,               0.436,            0.040496,            0.051669,           0.0069755,            0.004654,            0.004654,            0.004654
                  56,            0.033904,            0.050175,           0.0034166,             0.77827,              0.7016,             0.74948,             0.43686,            0.039697,            0.053133,           0.0069868,            0.004555,            0.004555,            0.004555
                  57,            0.033501,            0.047341,           0.0030683,               0.796,             0.70524,             0.75049,             0.43721,            0.040603,            0.053234,           0.0066282,            0.004456,            0.004456,            0.004456
                  58,            0.032967,            0.048163,           0.0030042,             0.79831,             0.72258,             0.77244,              0.4496,            0.039569,            0.053472,           0.0063952,            0.004357,            0.004357,            0.004357
                  59,            0.032991,            0.045297,           0.0027927,             0.80343,             0.71295,             0.74892,             0.43734,            0.040867,            0.053453,           0.0062937,            0.004258,            0.004258,            0.004258
                  60,            0.033237,            0.047426,           0.0029566,             0.78569,             0.71832,             0.75362,             0.44317,            0.040082,            0.052699,           0.0064354,            0.004159,            0.004159,            0.004159
                  61,            0.031532,            0.046306,           0.0028703,             0.79405,             0.71697,             0.74906,             0.44106,            0.039374,            0.053723,           0.0064529,             0.00406,             0.00406,             0.00406
                  62,            0.031455,             0.04343,           0.0027303,             0.83637,             0.68676,             0.75121,             0.42522,            0.039962,            0.054065,           0.0063533,            0.003961,            0.003961,            0.003961
                  63,            0.032459,            0.046441,           0.0027233,             0.81874,              0.6994,             0.75296,              0.4428,            0.039859,            0.053133,           0.0062179,            0.003862,            0.003862,            0.003862
                  64,            0.031906,            0.044657,            0.002501,             0.81363,             0.68296,             0.74924,             0.44175,            0.039819,            0.052997,           0.0062982,            0.003763,            0.003763,            0.003763
                  65,            0.031921,            0.047601,           0.0024906,             0.82268,             0.71432,             0.76264,             0.44602,            0.039738,             0.05282,           0.0059921,            0.003664,            0.003664,            0.003664
                  66,            0.031357,            0.044888,            0.002633,             0.79302,             0.74535,             0.76838,             0.45281,             0.03933,             0.05384,           0.0060065,            0.003565,            0.003565,            0.003565
                  67,            0.031315,            0.047858,           0.0023867,               0.798,             0.72648,              0.7706,             0.45227,            0.039169,            0.053366,           0.0059858,            0.003466,            0.003466,            0.003466
                  68,            0.031116,            0.044785,           0.0026118,             0.79124,             0.73321,             0.75701,             0.44057,            0.039174,             0.05412,           0.0062286,            0.003367,            0.003367,            0.003367
                  69,            0.030842,            0.045388,           0.0023244,             0.81721,             0.69918,             0.76008,             0.44906,            0.038853,            0.053672,           0.0061627,            0.003268,            0.003268,            0.003268
                  70,            0.030745,            0.044857,           0.0024025,             0.82778,             0.70815,             0.75946,             0.43621,            0.039624,            0.054809,           0.0059023,            0.003169,            0.003169,            0.003169
                  71,            0.030815,            0.043652,           0.0022745,             0.81303,             0.72294,             0.75716,             0.44997,             0.03912,            0.054561,           0.0054637,             0.00307,             0.00307,             0.00307
                  72,            0.030791,            0.046083,           0.0020955,             0.81369,             0.69694,             0.74976,             0.44503,            0.039361,            0.054754,           0.0056752,            0.002971,            0.002971,            0.002971
                  73,            0.029993,            0.042614,           0.0021512,             0.82172,             0.70973,             0.76092,             0.45616,             0.03914,             0.05458,            0.006117,            0.002872,            0.002872,            0.002872
